,,,,,"Measures","Weighted Sum of Income Distribution - Whole Population","Weighted Sum of Income Distribution - Whole Population - RSE","Weighted Sum of Income Distribution - Whole Population - Annotations",
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",676,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",37076,0.00,,
,,,,,"North West (E12000002)",100272,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",67317,0.00,,
,,,,,"East Midlands (E12000004)",37586,0.00,,
,,,,,"West Midlands (E12000005)",102153,0.00,,
,,,,,"East (E12000006)",89449,0.00,,
,,,,,"London (E12000007)",335041,0.00,,
,,,,,"South East (E12000008)",137825,0.00,,
,,,,,"South West (E12000009)",44207,0.00,,
,,,,,"Wales (W92000004)",32931,0.00,,
,,,,,"Scotland (S92000003)",51809,0.00,,
,,,,,"Northern Ireland (N92000002)",14496,0.00,,
,,,,"All rented privately","North East (E12000001)",36727,0.00,,
,,,,,"North West (E12000002)",84655,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",28511,0.00,,
,,,,,"East Midlands (E12000004)",46653,0.00,,
,,,,,"West Midlands (E12000005)",69197,0.00,,
,,,,,"East (E12000006)",100752,0.00,,
,,,,,"London (E12000007)",325254,0.00,,
,,,,,"South East (E12000008)",182149,0.00,,
,,,,,"South West (E12000009)",103969,0.00,,
,,,,,"Wales (W92000004)",37733,0.00,,
,,,,,"Scotland (S92000003)",36581,0.00,,
,,,,,"Northern Ireland (N92000002)",18468,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",35419,0.00,,
,,,,,"North West (E12000002)",119450,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",80659,0.00,,
,,,,,"East Midlands (E12000004)",74499,0.00,,
,,,,,"West Midlands (E12000005)",97980,0.00,,
,,,,,"East (E12000006)",88826,0.00,,
,,,,,"London (E12000007)",46553,0.00,,
,,,,,"South East (E12000008)",76904,0.00,,
,,,,,"South West (E12000009)",105545,0.00,,
,,,,,"Wales (W92000004)",51559,0.00,,
,,,,,"Scotland (S92000003)",57915,0.00,,
,,,,,"Northern Ireland (N92000002)",36482,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",2207,0.00,,
,,,,,"North West (E12000002)",10379,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",11626,0.00,,
,,,,,"East Midlands (E12000004)",12607,0.00,,
,,,,,"West Midlands (E12000005)",10990,0.00,,
,,,,,"East (E12000006)",5386,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",3205,0.00,,
,,,,,"South West (E12000009)",9618,0.00,,
,,,,,"Wales (W92000004)",2442,0.00,,
,,,,,"Scotland (S92000003)",10504,0.00,,
,,,,,"Northern Ireland (N92000002)",13174,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1420,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",1098,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",2764,0.00,,
,,,,,"Northern Ireland (N92000002)",448,0.00,,
,,,,"All rented privately","North East (E12000001)",1172,0.00,,
,,,,,"North West (E12000002)",6690,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",2245,0.00,,
,,,,,"West Midlands (E12000005)",7610,0.00,,
,,,,,"East (E12000006)",3974,0.00,,
,,,,,"London (E12000007)",2482,0.00,,
,,,,,"South East (E12000008)",1283,0.00,,
,,,,,"South West (E12000009)",3141,0.00,,
,,,,,"Wales (W92000004)",2784,0.00,,
,,,,,"Scotland (S92000003)",8793,0.00,,
,,,,,"Northern Ireland (N92000002)",2083,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1454,0.00,,
,,,,,"East Midlands (E12000004)",5676,0.00,,
,,,,,"West Midlands (E12000005)",1393,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",1372,0.00,,
,,,,,"South West (E12000009)",4034,0.00,,
,,,,,"Wales (W92000004)",1492,0.00,,
,,,,,"Scotland (S92000003)",5397,0.00,,
,,,,,"Northern Ireland (N92000002)",2358,0.00,,
,,,,"All rented privately","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",4592,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",263,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",90527,0.00,,
,,,,,"North West (E12000002)",242817,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",190151,0.00,,
,,,,,"East Midlands (E12000004)",192216,0.00,,
,,,,,"West Midlands (E12000005)",157128,0.00,,
,,,,,"East (E12000006)",174169,0.00,,
,,,,,"London (E12000007)",161056,0.00,,
,,,,,"South East (E12000008)",231691,0.00,,
,,,,,"South West (E12000009)",180785,0.00,,
,,,,,"Wales (W92000004)",134438,0.00,,
,,,,,"Scotland (S92000003)",106934,0.00,,
,,,,,"Northern Ireland (N92000002)",72158,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",110805,0.00,,
,,,,,"North West (E12000002)",221561,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",210515,0.00,,
,,,,,"East Midlands (E12000004)",135202,0.00,,
,,,,,"West Midlands (E12000005)",241953,0.00,,
,,,,,"East (E12000006)",167856,0.00,,
,,,,,"London (E12000007)",258949,0.00,,
,,,,,"South East (E12000008)",235099,0.00,,
,,,,,"South West (E12000009)",120252,0.00,,
,,,,,"Wales (W92000004)",108746,0.00,,
,,,,,"Scotland (S92000003)",142552,0.00,,
,,,,,"Northern Ireland (N92000002)",82664,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",73286,0.00,,
,,,,,"North West (E12000002)",162961,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",101749,0.00,,
,,,,,"East Midlands (E12000004)",121536,0.00,,
,,,,,"West Midlands (E12000005)",122086,0.00,,
,,,,,"East (E12000006)",85700,0.00,,
,,,,,"London (E12000007)",133143,0.00,,
,,,,,"South East (E12000008)",101259,0.00,,
,,,,,"South West (E12000009)",35123,0.00,,
,,,,,"Wales (W92000004)",53990,0.00,,
,,,,,"Scotland (S92000003)",124427,0.00,,
,,,,,"Northern Ireland (N92000002)",27743,0.00,,
,,,,"All rented privately","North East (E12000001)",44935,0.00,,
,,,,,"North West (E12000002)",141966,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",111179,0.00,,
,,,,,"East Midlands (E12000004)",127427,0.00,,
,,,,,"West Midlands (E12000005)",126358,0.00,,
,,,,,"East (E12000006)",77292,0.00,,
,,,,,"London (E12000007)",235592,0.00,,
,,,,,"South East (E12000008)",160558,0.00,,
,,,,,"South West (E12000009)",120075,0.00,,
,,,,,"Wales (W92000004)",65264,0.00,,
,,,,,"Scotland (S92000003)",100628,0.00,,
,,,,,"Northern Ireland (N92000002)",45527,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",1581,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1536,0.00,,
,,,,,"Northern Ireland (N92000002)",263,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",94326,0.00,,
,,,,,"North West (E12000002)",268368,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",191918,0.00,,
,,,,,"East Midlands (E12000004)",101817,0.00,,
,,,,,"West Midlands (E12000005)",197346,0.00,,
,,,,,"East (E12000006)",137566,0.00,,
,,,,,"London (E12000007)",228973,0.00,,
,,,,,"South East (E12000008)",110505,0.00,,
,,,,,"South West (E12000009)",129285,0.00,,
,,,,,"Wales (W92000004)",77136,0.00,,
,,,,,"Scotland (S92000003)",180071,0.00,,
,,,,,"Northern Ireland (N92000002)",65487,0.00,,
,,,,"All rented privately","North East (E12000001)",48098,0.00,,
,,,,,"North West (E12000002)",141976,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",78681,0.00,,
,,,,,"East Midlands (E12000004)",48409,0.00,,
,,,,,"West Midlands (E12000005)",82198,0.00,,
,,,,,"East (E12000006)",21502,0.00,,
,,,,,"London (E12000007)",92335,0.00,,
,,,,,"South East (E12000008)",32726,0.00,,
,,,,,"South West (E12000009)",47477,0.00,,
,,,,,"Wales (W92000004)",76097,0.00,,
,,,,,"Scotland (S92000003)",48543,0.00,,
,,,,,"Northern Ireland (N92000002)",46948,0.00,,
"2015-16 (r)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",508172,0.00,,
,,,,,"North West (E12000002)",1702621,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1134245,0.00,,
,,,,,"East Midlands (E12000004)",1226449,0.00,,
,,,,,"West Midlands (E12000005)",1249350,0.00,,
,,,,,"East (E12000006)",1438085,0.00,,
,,,,,"London (E12000007)",1392339,0.00,,
,,,,,"South East (E12000008)",2152780,0.00,,
,,,,,"South West (E12000009)",1351930,0.00,,
,,,,,"Wales (W92000004)",799709,0.00,,
,,,,,"Scotland (S92000003)",1317286,0.00,,
,,,,,"Northern Ireland (N92000002)",464489,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",851694,0.00,,
,,,,,"North West (E12000002)",2221570,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1663255,0.00,,
,,,,,"East Midlands (E12000004)",1375715,0.00,,
,,,,,"West Midlands (E12000005)",1684643,0.00,,
,,,,,"East (E12000006)",2031101,0.00,,
,,,,,"London (E12000007)",2453601,0.00,,
,,,,,"South East (E12000008)",3245346,0.00,,
,,,,,"South West (E12000009)",1669838,0.00,,
,,,,,"Wales (W92000004)",836835,0.00,,
,,,,,"Scotland (S92000003)",1610923,0.00,,
,,,,,"Northern Ireland (N92000002)",605527,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",175249,0.00,,
,,,,,"North West (E12000002)",301658,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",255520,0.00,,
,,,,,"East Midlands (E12000004)",172052,0.00,,
,,,,,"West Midlands (E12000005)",357892,0.00,,
,,,,,"East (E12000006)",342210,0.00,,
,,,,,"London (E12000007)",512172,0.00,,
,,,,,"South East (E12000008)",376486,0.00,,
,,,,,"South West (E12000009)",239620,0.00,,
,,,,,"Wales (W92000004)",188356,0.00,,
,,,,,"Scotland (S92000003)",431798,0.00,,
,,,,,"Northern Ireland (N92000002)",57025,0.00,,
,,,,"All rented privately","North East (E12000001)",247718,0.00,,
,,,,,"North West (E12000002)",601093,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",645647,0.00,,
,,,,,"East Midlands (E12000004)",515834,0.00,,
,,,,,"West Midlands (E12000005)",533360,0.00,,
,,,,,"East (E12000006)",549150,0.00,,
,,,,,"London (E12000007)",1380353,0.00,,
,,,,,"South East (E12000008)",926584,0.00,,
,,,,,"South West (E12000009)",633661,0.00,,
,,,,,"Wales (W92000004)",185794,0.00,,
,,,,,"Scotland (S92000003)",481444,0.00,,
,,,,,"Northern Ireland (N92000002)",198587,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",6600,0.00,,
,,,,,"South West (E12000009)",1989,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",712,0.00,,
,,,,,"Northern Ireland (N92000002)",830,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",151108,0.00,,
,,,,,"North West (E12000002)",338775,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",196945,0.00,,
,,,,,"East Midlands (E12000004)",143730,0.00,,
,,,,,"West Midlands (E12000005)",243542,0.00,,
,,,,,"East (E12000006)",243186,0.00,,
,,,,,"London (E12000007)",413818,0.00,,
,,,,,"South East (E12000008)",245233,0.00,,
,,,,,"South West (E12000009)",233098,0.00,,
,,,,,"Wales (W92000004)",95634,0.00,,
,,,,,"Scotland (S92000003)",238496,0.00,,
,,,,,"Northern Ireland (N92000002)",82602,0.00,,
,,,,"All rented privately","North East (E12000001)",30997,0.00,,
,,,,,"North West (E12000002)",107361,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",84673,0.00,,
,,,,,"East Midlands (E12000004)",67894,0.00,,
,,,,,"West Midlands (E12000005)",63822,0.00,,
,,,,,"East (E12000006)",114492,0.00,,
,,,,,"London (E12000007)",164706,0.00,,
,,,,,"South East (E12000008)",155927,0.00,,
,,,,,"South West (E12000009)",124875,0.00,,
,,,,,"Wales (W92000004)",72654,0.00,,
,,,,,"Scotland (S92000003)",49725,0.00,,
,,,,,"Northern Ireland (N92000002)",43857,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",3188,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",3324,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",2906,0.00,,
,,,,,"London (E12000007)",2314,0.00,,
,,,,,"South East (E12000008)",1533,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",2422,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1255,0.00,,
,,,,,"North West (E12000002)",54544,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",25991,0.00,,
,,,,,"East Midlands (E12000004)",14651,0.00,,
,,,,,"West Midlands (E12000005)",26111,0.00,,
,,,,,"East (E12000006)",49112,0.00,,
,,,,,"London (E12000007)",96403,0.00,,
,,,,,"South East (E12000008)",90446,0.00,,
,,,,,"South West (E12000009)",35973,0.00,,
,,,,,"Wales (W92000004)",9386,0.00,,
,,,,,"Scotland (S92000003)",13124,0.00,,
,,,,,"Northern Ireland (N92000002)",8828,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",23992,0.00,,
,,,,,"North West (E12000002)",51617,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",70931,0.00,,
,,,,,"East Midlands (E12000004)",13632,0.00,,
,,,,,"West Midlands (E12000005)",50608,0.00,,
,,,,,"East (E12000006)",39390,0.00,,
,,,,,"London (E12000007)",124021,0.00,,
,,,,,"South East (E12000008)",76856,0.00,,
,,,,,"South West (E12000009)",63613,0.00,,
,,,,,"Wales (W92000004)",47307,0.00,,
,,,,,"Scotland (S92000003)",59805,0.00,,
,,,,,"Northern Ireland (N92000002)",3125,0.00,,
,,,,"All rented privately","North East (E12000001)",48516,0.00,,
,,,,,"North West (E12000002)",127263,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",94698,0.00,,
,,,,,"East Midlands (E12000004)",83967,0.00,,
,,,,,"West Midlands (E12000005)",117696,0.00,,
,,,,,"East (E12000006)",125717,0.00,,
,,,,,"London (E12000007)",289092,0.00,,
,,,,,"South East (E12000008)",189492,0.00,,
,,,,,"South West (E12000009)",110399,0.00,,
,,,,,"Wales (W92000004)",51016,0.00,,
,,,,,"Scotland (S92000003)",76456,0.00,,
,,,,,"Northern Ireland (N92000002)",20009,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",5210,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",3236,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",22443,0.00,,
,,,,,"North West (E12000002)",146650,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",62440,0.00,,
,,,,,"East Midlands (E12000004)",69979,0.00,,
,,,,,"West Midlands (E12000005)",112337,0.00,,
,,,,,"East (E12000006)",80297,0.00,,
,,,,,"London (E12000007)",215194,0.00,,
,,,,,"South East (E12000008)",105258,0.00,,
,,,,,"South West (E12000009)",86797,0.00,,
,,,,,"Wales (W92000004)",68568,0.00,,
,,,,,"Scotland (S92000003)",54916,0.00,,
,,,,,"Northern Ireland (N92000002)",11532,0.00,,
,,,,"All rented privately","North East (E12000001)",46908,0.00,,
,,,,,"North West (E12000002)",100893,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",57897,0.00,,
,,,,,"East Midlands (E12000004)",54209,0.00,,
,,,,,"West Midlands (E12000005)",93471,0.00,,
,,,,,"East (E12000006)",74706,0.00,,
,,,,,"London (E12000007)",294442,0.00,,
,,,,,"South East (E12000008)",122178,0.00,,
,,,,,"South West (E12000009)",85634,0.00,,
,,,,,"Wales (W92000004)",35367,0.00,,
,,,,,"Scotland (S92000003)",48526,0.00,,
,,,,,"Northern Ireland (N92000002)",10870,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",35243,0.00,,
,,,,,"North West (E12000002)",85750,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",78750,0.00,,
,,,,,"East Midlands (E12000004)",64150,0.00,,
,,,,,"West Midlands (E12000005)",110129,0.00,,
,,,,,"East (E12000006)",112906,0.00,,
,,,,,"London (E12000007)",38611,0.00,,
,,,,,"South East (E12000008)",89237,0.00,,
,,,,,"South West (E12000009)",65197,0.00,,
,,,,,"Wales (W92000004)",40862,0.00,,
,,,,,"Scotland (S92000003)",65674,0.00,,
,,,,,"Northern Ireland (N92000002)",32975,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",26059,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",17271,0.00,,
,,,,,"East Midlands (E12000004)",18768,0.00,,
,,,,,"West Midlands (E12000005)",24124,0.00,,
,,,,,"East (E12000006)",5496,0.00,,
,,,,,"London (E12000007)",1689,0.00,,
,,,,,"South East (E12000008)",2902,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",5125,0.00,,
,,,,,"Scotland (S92000003)",8269,0.00,,
,,,,,"Northern Ireland (N92000002)",13629,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",1338,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",1259,0.00,,
,,,,,"Wales (W92000004)",1481,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",1518,0.00,,
,,,,"All rented privately","North East (E12000001)",2824,0.00,,
,,,,,"North West (E12000002)",14489,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",4712,0.00,,
,,,,,"East Midlands (E12000004)",4609,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
